Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,11,771,481,306,54,175,1,115,449,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1,11,771,481,306,54,175,1,115,449,0,0
C:\Users\Soumyajyoti\Documents\My Web Sites\WebSite1\App_Code,10,757,469,298,54,173,1,115,449,0,0
